"Service";"Work_accident";"Contrat";"Durée hebdo";"Salaire base mensuel";"%variable_moyen";"Augmentation";"Promotion";"Sexe";"Congé maternité A-1";"Tranche_Age";"Tranche_Ancienneté_an";"Tranche_Salaire base mensuel"
"Informatique";"Oui";"CDI";35;6494.3667;1;0;0;"H";0;"30-39";"6-10 ans";"5000€ et plus"
"Consultant";"Non";"CDI";35;6413.9833;24;1;0;"F";0;"40-49";"6-10 ans";"5000€ et plus"
"Consultant";"Non";"CDI";35;6409.4333;21;0;0;"H";0;"50-59";"6-10 ans";"5000€ et plus"
"Consultant";"Non";"CDI";35;6398.8167;11;1;0;"H";0;"40-49";"6-10 ans";"5000€ et plus"
"Informatique";"Non";"CDI";35;6356.35;26;1;0;"F";0;"30-39";"0-5 ans";"5000€ et plus"
"Consultant";"Non";"CDI";35;6301.75;34;0;0;"F";0;"50-59";"6-10 ans";"5000€ et plus"
"Commercial";"Non";"CDI";35;6212.2667;5;1;0;"F";0;"40-49";"0-5 ans";"5000€ et plus"
"Commercial";"Non";"CDI";35;6195.5833;23;0;1;"H";0;"40-49";"11-15 ans";"5000€ et plus"
"Informatique";"Non";"CDI";24;6178.64;17;0;0;"H";0;"40-49";"20 ans et plus";"5000€ et plus"
"RH";"Non";"CDI";35;6175.8667;38;0;0;"H";0;"20-29";"6-10 ans";"5000€ et plus"
"Commercial";"Non";"CDI";35;6163.7333;16;1;1;"F";0;"40-49";"20 ans et plus";"5000€ et plus"
"Compta Finances";"Non";"CDI";35;6127.3333;0;1;1;"F";0;"40-49";"11-15 ans";"5000€ et plus"
"Commercial";"Oui";"CDI";35;6121.2667;32;0;0;"H";0;"30-39";"20 ans et plus";"5000€ et plus"
"Consultant";"Non";"CDI";35;6043.9167;3;1;0;"H";0;"40-49";"16-20 ans";"5000€ et plus"
"Commercial";"Oui";"CDI";35;6031.7833;39;1;0;"H";0;"40-49";"16-20 ans";"5000€ et plus"
"Marketing";"Oui";"CDI";35;6002.9667;2;1;0;"H";0;"40-49";"20 ans et plus";"5000€ et plus"
"Commercial";"Non";"CDI";35;5984.7667;6;0;0;"H";0;"40-49";"20 ans et plus";"5000€ et plus"
"Marketing";"Non";"CDI";24;5951.92;32;1;0;"F";0;"50-59";"6-10 ans";"5000€ et plus"
"Commercial";"Non";"CDI";35;5949.8833;17;1;0;"H";0;"30-39";"16-20 ans";"5000€ et plus"
"Marketing";"Non";"CDI";35;5930.1667;33;0;0;"H";0;"40-49";"6-10 ans";"5000€ et plus"
"Commercial";"Non";"CDI";24;5895.76;23;1;0;"F";0;"50-59";"20 ans et plus";"5000€ et plus"
"Consultant";"Non";"CDI";35;5810.35;36;1;0;"H";0;"30-39";"6-10 ans";"5000€ et plus"
"Commercial";"Non";"CDI";35;5805.8;37;0;0;"H";0;"30-39";"20 ans et plus";"5000€ et plus"
"Commercial";"Non";"CDI";35;5749.6833;17;0;0;"H";0;"50-59";"11-15 ans";"5000€ et plus"
"Consultant";"Non";"CDI";35;5739.0667;6;1;1;"F";0;"50-59";"20 ans et plus";"5000€ et plus"
"Compta Finances";"Non";"CDI";24;5724.16;15;1;0;"H";0;"30-39";"16-20 ans";"5000€ et plus"
"Consultant";"Non";"CDI";35;5585.8833;17;1;0;"F";0;"20-29";"16-20 ans";"5000€ et plus"
"Commercial";"Oui";"CDI";35;5581.3333;20;1;1;"F";0;"30-39";"20 ans et plus";"5000€ et plus"
"RH";"Non";"CDI";35;5522.1833;9;1;0;"F";0;"60 et plus";"6-10 ans";"5000€ et plus"
"Marketing";"Non";"CDI";35;5517.6333;23;1;1;"H";0;"40-49";"20 ans et plus";"5000€ et plus"
"Commercial";"Non";"CDI";35;5464.55;34;0;0;"H";0;"40-49";"11-15 ans";"5000€ et plus"
"Marketing";"Non";"CDI";24;5462.08;39;0;0;"H";0;"30-39";"6-10 ans";"5000€ et plus"
"Consultant";"Non";"CDI";35;5455.45;7;0;0;"H";0;"50-59";"16-20 ans";"5000€ et plus"
"Consultant";"Non";"CDI";24;5448.56;30;0;0;"H";0;"50-59";"6-10 ans";"5000€ et plus"
"Consultant";"Non";"CDI";35;5388.7167;30;1;0;"F";0;"40-49";"6-10 ans";"5000€ et plus"
"RH";"Non";"CDI";35;5359.9;4;1;0;"H";0;"60 et plus";"16-20 ans";"5000€ et plus"
"RH";"Non";"CDI";35;5293.1667;39;0;0;"F";0;"60 et plus";"16-20 ans";"5000€ et plus"
"Informatique";"Non";"CDI";35;5212.7833;11;0;0;"H";0;"50-59";"0-5 ans";"5000€ et plus"
"RH";"Non";"CDI";35;5106.6167;10;0;0;"F";0;"40-49";"6-10 ans";"5000€ et plus"
"Consultant";"Non";"CDI";28;5097.2133;10;1;0;"H";0;"40-49";"6-10 ans";"5000€ et plus"
"Commercial";"Non";"CDI";35;5092.9667;11;1;0;"F";0;"40-49";"20 ans et plus";"5000€ et plus"
"RH";"Non";"CDI";35;5076.2833;33;0;0;"F";0;"50-59";"0-5 ans";"5000€ et plus"
"RH";"Non";"CDI";35;5067.1833;39;1;0;"F";0;"50-59";"16-20 ans";"5000€ et plus"
"RH";"Non";"CDI";35;5056.5667;24;1;0;"F";1;"30-39";"16-20 ans";"5000€ et plus"
"RH";"Non";"CDI";35;5035.3333;24;0;0;"H";0;"50-59";"20 ans et plus";"5000€ et plus"
"Compta Finances";"Non";"CDI";35;4988.3167;8;0;0;"H";0;"50-59";"20 ans et plus";"4001-5000€"
"Commercial";"Oui";"CDI";24;4974.32;32;0;0;"F";0;"50-59";"11-15 ans";"4001-5000€"
"Commercial";"Non";"CDI";24;4882.8;17;1;0;"F";0;"50-59";"6-10 ans";"4001-5000€"
"RH";"Non";"CDI";24;4851.6;14;0;0;"F";0;"30-39";"20 ans et plus";"4001-5000€"
"Consultant";"Non";"CDI";24;4795.44;19;0;1;"H";0;"30-39";"6-10 ans";"4001-5000€"
"Marketing";"Non";"CDI";35;4763.85;7;1;0;"F";0;"30-39";"11-15 ans";"4001-5000€"
"Consultant";"Non";"CDI";35;4712.2833;26;1;0;"F";0;"40-49";"11-15 ans";"4001-5000€"
"Informatique";"Oui";"CDI";35;4663.75;5;0;0;"F";0;"50-59";"20 ans et plus";"4001-5000€"
"Marketing";"Non";"CDI";35;4624.3167;15;0;0;"H";0;"30-39";"11-15 ans";"4001-5000€"
"Marketing";"Oui";"CDI";35;4563.65;38;1;0;"F";0;"40-49";"16-20 ans";"4001-5000€"
"Consultant";"Non";"CDI";35;4516.6333;34;1;0;"F";0;"40-49";"16-20 ans";"4001-5000€"
"RH";"Non";"CDI";35;4499.95;22;1;0;"H";0;"50-59";"6-10 ans";"4001-5000€"
"Consultant";"Non";"CDI";35;4449.9;33;1;0;"H";0;"50-59";"0-5 ans";"4001-5000€"
"Marketing";"Non";"CDI";35;4424.1167;30;0;0;"F";0;"40-49";"20 ans et plus";"4001-5000€"
"Compta Finances";"Non";"CDI";35;4421.0833;6;1;1;"H";0;"50-59";"11-15 ans";"4001-5000€"
"Consultant";"Non";"CDI";35;4296.7167;39;0;0;"H";0;"60 et plus";"11-15 ans";"4001-5000€"
"Consultant";"Non";"CDI";35;4289.1333;12;0;1;"F";0;"60 et plus";"11-15 ans";"4001-5000€"
"Consultant";"Non";"CDI";35;4281.55;13;1;0;"H";0;"30-39";"6-10 ans";"4001-5000€"
"Compta Finances";"Non";"CDI";35;4263.35;31;0;0;"H";0;"50-59";"16-20 ans";"4001-5000€"
"Compta Finances";"Non";"CDI";35;4204.2;39;1;0;"F";0;"50-59";"6-10 ans";"4001-5000€"
"Compta Finances";"Non";"CDI";35;4198.1333;34;1;0;"F";0;"30-39";"0-5 ans";"4001-5000€"
"Informatique";"Non";"CDI";24;4165.2;12;0;0;"H";0;"50-59";"20 ans et plus";"4001-5000€"
"Commercial";"Oui";"CDI";35;4152.6333;7;1;0;"F";0;"40-49";"16-20 ans";"4001-5000€"
"Consultant";"Non";"CDI";35;4134.4333;22;0;0;"H";0;"30-39";"20 ans et plus";"4001-5000€"
"RH";"Non";"CDI";24;4117.36;8;1;0;"F";0;"60 et plus";"6-10 ans";"4001-5000€"
"Marketing";"Non";"CDI";35;4082.8667;28;0;0;"F";0;"40-49";"20 ans et plus";"4001-5000€"
"Marketing";"Non";"CDI";35;4022.2;14;0;0;"H";0;"50-59";"16-20 ans";"4001-5000€"
"Compta Finances";"Non";"CDI";35;4013.1;12;0;0;"F";0;"30-39";"6-10 ans";"4001-5000€"
"Consultant";"Non";"CDI";35;4000.9667;40;1;0;"H";0;"40-49";"20 ans et plus";"4001-5000€"
"Consultant";"Non";"CDI";35;3891.7667;32;0;0;"H";0;"50-59";"6-10 ans";"3001-4000€"
"RH";"Non";"CDI";35;3882.6667;1;0;1;"H";0;"30-39";"11-15 ans";"3001-4000€"
"Compta Finances";"Non";"CDI";24;3853.2;9;1;1;"F";0;"50-59";"20 ans et plus";"3001-4000€"
"RH";"Non";"CDI";35;3835.65;26;0;0;"F";0;"50-59";"11-15 ans";"3001-4000€"
"RH";"Non";"CDI";35;3803.8;30;0;0;"H";0;"40-49";"20 ans et plus";"3001-4000€"
"Commercial";"Non";"CDI";35;3800.7667;9;1;1;"F";0;"50-59";"20 ans et plus";"3001-4000€"
"RH";"Non";"CDI";35;3797.7333;24;0;0;"F";0;"50-59";"20 ans et plus";"3001-4000€"
"RH";"Oui";"CDI";35;3705.2167;29;1;0;"F";0;"40-49";"11-15 ans";"3001-4000€"
"Marketing";"Non";"CDD";35;3693.0833;24;0;0;"H";0;"30-39";"0-5 ans";"3001-4000€"
"Commercial";"Non";"CDI";35;3677.9167;33;0;1;"H";0;"30-39";"20 ans et plus";"3001-4000€"
"Marketing";"Non";"CDI";35;3655.1667;33;0;0;"H";0;"60 et plus";"16-20 ans";"3001-4000€"
"Marketing";"Non";"CDD";35;3640;6;0;0;"F";0;"40-49";"0-5 ans";"3001-4000€"
"Marketing";"Non";"CDI";35;3597.5333;32;1;0;"F";0;"30-39";"16-20 ans";"3001-4000€"
"Marketing";"Non";"CDI";35;3582.3667;30;1;0;"H";0;"40-49";"20 ans et plus";"3001-4000€"
"Consultant";"Non";"CDI";35;3547.4833;39;1;0;"F";1;"20-29";"11-15 ans";"3001-4000€"
"RH";"Non";"CDI";35;3508.05;11;0;1;"H";0;"40-49";"20 ans et plus";"3001-4000€"
"RH";"Non";"CDI";35;3486.8167;19;0;0;"H";0;"30-39";"0-5 ans";"3001-4000€"
"Marketing";"Oui";"CDI";35;3462.55;3;1;0;"H";0;"40-49";"20 ans et plus";"3001-4000€"
"Consultant";"Non";"CDI";35;3459.5167;30;0;0;"F";0;"50-59";"11-15 ans";"3001-4000€"
"Compta Finances";"Non";"CDI";35;3436.7667;27;1;0;"H";0;"30-39";"11-15 ans";"3001-4000€"
"Compta Finances";"Non";"CDI";35;3383.6833;23;0;0;"H";0;"40-49";"16-20 ans";"3001-4000€"
"RH";"Non";"CDI";35;3335.15;28;1;0;"H";0;"50-59";"6-10 ans";"3001-4000€"
"Commercial";"Non";"CDI";35;3260.8333;30;1;0;"F";0;"30-39";"16-20 ans";"3001-4000€"
"Marketing";"Non";"CDI";35;3256.2833;34;0;0;"F";0;"50-59";"6-10 ans";"3001-4000€"
"Consultant";"Non";"CDI";35;3232.0167;35;0;0;"H";0;"40-49";"20 ans et plus";"3001-4000€"
"RH";"Non";"CDI";35;3218.3667;27;1;0;"F";0;"50-59";"16-20 ans";"3001-4000€"
"Compta Finances";"Non";"CDD";35;3201.6833;38;0;0;"F";0;"20-29";"0-5 ans";"3001-4000€"
"Commercial";"Non";"CDD";35;3185;3;0;0;"F";0;"40-49";"0-5 ans";"3001-4000€"
"Consultant";"Non";"CDD";35;3168.3167;10;0;0;"F";0;"40-49";"0-5 ans";"3001-4000€"
"Commercial";"Oui";"CDI";35;3165.2833;0;0;0;"F";0;"50-59";"6-10 ans";"3001-4000€"
"RH";"Non";"CDI";24;3116.88;37;0;0;"F";0;"60 et plus";"6-10 ans";"3001-4000€"
"Consultant";"Non";"CDI";35;3097.0333;13;0;0;"F";0;"60 et plus";"20 ans et plus";"3001-4000€"
"RH";"Non";"CDI";24;3060.72;6;0;0;"F";0;"50-59";"16-20 ans";"3001-4000€"
"Consultant";"Non";"CDD";35;3033.3333;8;0;0;"F";0;"60 et plus";"0-5 ans";"3001-4000€"
"RH";"Non";"CDI";35;3012.1;19;1;0;"F";0;"50-59";"16-20 ans";"3001-4000€"
"Marketing";"Non";"CDI";35;2998.45;21;1;0;"H";0;"20-29";"6-10 ans";"2001-3000€"
"Commercial";"Oui";"CDI";35;2928.6833;33;1;1;"F";0;"50-59";"6-10 ans";"2001-3000€"
"Consultant";"Non";"CDI";35;2918.0667;39;1;0;"H";0;"40-49";"20 ans et plus";"2001-3000€"
"Commercial";"Non";"CDI";35;2916.55;35;1;0;"F";0;"30-39";"11-15 ans";"2001-3000€"
"Marketing";"Non";"CDI";35;2912;35;0;1;"F";0;"50-59";"0-5 ans";"2001-3000€"
"Commercial";"Non";"CDD";35;2881.6667;27;0;0;"F";0;"50-59";"0-5 ans";"2001-3000€"
"Informatique";"Oui";"CDD";35;2848.3;15;1;0;"H";0;"30-39";"0-5 ans";"2001-3000€"
"Consultant";"Non";"CDI";35;2843.75;2;0;0;"H";0;"40-49";"11-15 ans";"2001-3000€"
"Consultant";"Non";"CDI";35;2834.65;15;1;0;"H";0;"60 et plus";"6-10 ans";"2001-3000€"
"Commercial";"Non";"CDI";35;2828.5833;21;0;0;"H";0;"50-59";"20 ans et plus";"2001-3000€"
"Consultant";"Non";"CDI";28;2813.72;8;1;0;"H";0;"50-59";"11-15 ans";"2001-3000€"
"Consultant";"Non";"CDI";35;2777.0167;10;1;0;"H";0;"50-59";"20 ans et plus";"2001-3000€"
"Compta Finances";"Oui";"CDI";35;2769.4333;33;0;0;"H";0;"30-39";"16-20 ans";"2001-3000€"
"RH";"Non";"CDI";35;2767.9167;6;1;0;"H";0;"60 et plus";"6-10 ans";"2001-3000€"
"RH";"Non";"CDI";24;2735.2;27;0;0;"H";0;"50-59";"20 ans et plus";"2001-3000€"
"Consultant";"Non";"CDI";35;2731.5167;4;1;0;"F";0;"40-49";"16-20 ans";"2001-3000€"
"Consultant";"Non";"CDI";35;2675.4;20;1;0;"H";0;"50-59";"0-5 ans";"2001-3000€"
"Compta Finances";"Non";"CDI";35;2604.1167;32;1;0;"H";0;"60 et plus";"20 ans et plus";"2001-3000€"
"Consultant";"Non";"CDI";35;2561.65;13;0;0;"H";0;"30-39";"16-20 ans";"2001-3000€"
"Consultant";"Oui";"CDD";35;2558.6167;22;0;0;"H";0;"30-39";"0-5 ans";"2001-3000€"
"Commercial";"Oui";"CDI";35;2511.6;21;0;0;"H";0;"30-39";"6-10 ans";"2001-3000€"
"RH";"Non";"CDI";24;2507.44;18;1;1;"F";0;"40-49";"16-20 ans";"2001-3000€"
"Consultant";"Oui";"CDD";32;2496;21;0;0;"F";0;"40-49";"0-5 ans";"2001-3000€"
"Marketing";"Oui";"CDD";35;2426.6667;21;0;0;"F";0;"50-59";"0-5 ans";"2001-3000€"
"Commercial";"Oui";"CDI";35;2396.3333;11;0;0;"H";0;"40-49";"20 ans et plus";"2001-3000€"
"Commercial";"Non";"CDI";35;2369.0333;20;0;0;"F";0;"30-39";"11-15 ans";"2001-3000€"
"Consultant";"Non";"CDD";32;2357.3333;12;0;0;"H";0;"50-59";"0-5 ans";"2001-3000€"
"Commercial";"Non";"CDI";35;2309.8833;23;0;0;"F";0;"50-59";"6-10 ans";"2001-3000€"
"Consultant";"Non";"CDD";35;2226.4667;2;0;0;"F";0;"30-39";"0-5 ans";"2001-3000€"
"Consultant";"Non";"CDI";35;2132.4333;18;1;1;"F";0;"40-49";"0-5 ans";"2001-3000€"
"Compta Finances";"Non";"CDD";35;2123.3333;39;0;0;"F";0;"50-59";"0-5 ans";"2001-3000€"
"Compta Finances";"Oui";"CDI";35;2079.35;7;1;1;"F";0;"40-49";"11-15 ans";"2001-3000€"
"Consultant";"Non";"CDI";35;2073.2833;28;0;0;"F";0;"40-49";"20 ans et plus";"2001-3000€"
"Commercial";"Non";"CDI";35;2070.25;34;0;0;"F";0;"50-59";"0-5 ans";"2001-3000€"
"Consultant";"Non";"CDI";35;2070.25;24;1;0;"F";1;"20-29";"6-10 ans";"2001-3000€"
"Consultant";"Non";"CDI";24;2055.04;12;0;0;"H";0;"60 et plus";"11-15 ans";"2001-3000€"
"Compta Finances";"Non";"CDI";35;2052.05;13;0;0;"F";0;"20-29";"6-10 ans";"2001-3000€"
"Consultant";"Non";"CDI";35;2027.7833;19;0;0;"F";0;"30-39";"6-10 ans";"2001-3000€"
"Consultant";"Non";"CDI";35;2024.75;4;1;0;"H";0;"40-49";"11-15 ans";"2001-3000€"
"Compta Finances";"Non";"CDI";35;2008.0667;35;1;0;"F";1;"20-29";"0-5 ans";"2001-3000€"
"Marketing";"Non";"CDD";35;1989.8667;5;0;0;"H";0;"30-39";"0-5 ans";"0-2000€"
"Compta Finances";"Non";"CDI";35;1979.25;6;1;0;"H";0;"40-49";"6-10 ans";"0-2000€"
"Compta Finances";"Non";"CDD";35;1920.1;17;1;0;"F";1;"30-39";"0-5 ans";"0-2000€"
"Consultant";"Non";"CDI";35;1873.0833;27;0;0;"H";0;"40-49";"11-15 ans";"0-2000€"
"Marketing";"Non";"CDI";35;1863.9833;12;1;0;"F";1;"30-39";"0-5 ans";"0-2000€"
"Consultant";"Non";"CDI";28;1851.5467;19;0;0;"H";0;"40-49";"20 ans et plus";"0-2000€"
"Compta Finances";"Non";"CDI";35;1835.1667;6;0;0;"H";0;"30-39";"16-20 ans";"0-2000€"
